D�tail point d'acc�s;
Nom;A.I.B.V.;
Num�ro EAN;541448810000124194;
Rue;Z. 1 RESEARCHPARK;
Num�ro maison;90;
Code postal;1731;
Commune;ZELLIK;
Type d'�nergie;;
Type de m�tre;Continue
Direction;Consommation;
;
;;;
Canal;Date;Valeur;Validation;Raison;Enit�;
A;01/01/2020 00:15;5,25;N;ORIG;KWH;
A;01/01/2020 00:30;4,9;N;ORIG;KWH;
A;01/01/2020 00:45;3,85;N;ORIG;KWH;
A;01/01/2020 01:00;5,6;N;ORIG;KWH;
A;01/01/2020 01:15;4,55;N;ORIG;KWH;
A;01/01/2020 01:30;4,9;N;ORIG;KWH;
A;01/01/2020 01:45;4,55;N;ORIG;KWH;
A;01/01/2020 02:00;4,9;N;ORIG;KWH;
A;01/01/2020 02:15;4,2;N;ORIG;KWH;
A;01/01/2020 02:30;5,6;N;ORIG;KWH;
A;01/01/2020 02:45;4,55;N;ORIG;KWH;
A;01/01/2020 03:00;5,25;N;ORIG;KWH;
A;01/01/2020 03:15;4,2;N;ORIG;KWH;
A;01/01/2020 03:30;5,25;N;ORIG;KWH;
A;01/01/2020 03:45;4,55;N;ORIG;KWH;
A;01/01/2020 04:00;5,25;N;ORIG;KWH;
A;01/01/2020 04:15;4,9;N;ORIG;KWH;
A;01/01/2020 04:30;4,55;N;ORIG;KWH;
A;01/01/2020 04:45;4,9;N;ORIG;KWH;
A;01/01/2020 05:00;5,25;N;ORIG;KWH;
A;01/01/2020 05:15;4,2;N;ORIG;KWH;
A;01/01/2020 05:30;5,25;N;ORIG;KWH;
A;01/01/2020 05:45;4,55;N;ORIG;KWH;
A;01/01/2020 06:00;5,25;N;ORIG;KWH;
A;01/01/2020 06:15;4,9;N;ORIG;KWH;
A;01/01/2020 06:30;6,65;N;ORIG;KWH;
A;01/01/2020 06:45;5,95;N;ORIG;KWH;
A;01/01/2020 07:00;5,95;N;ORIG;KWH;
A;01/01/2020 07:15;5,6;N;ORIG;KWH;
A;01/01/2020 07:30;6,65;N;ORIG;KWH;
