D�tail point d'acc�s;
Nom;Voisins BV;
Num�ro EAN;541448810000283501;
Rue;Z. 1 RESEARCHPARK;
Num�ro maison;50 DN01;
Code postal;1731;
Commune;ZELLIK;
Type d'�nergie;;
Type de m�tre;Continue
Direction;Consommation;
;
;;;
Canal;Date;Valeur;Validation;Raison;Enit�;
A;03/05/2018 00:15;4,044;N;ORIG;KWH;
A;03/05/2018 00:30;3,667;N;ORIG;KWH;
A;03/05/2018 00:45;3,567;N;ORIG;KWH;
A;03/05/2018 01:00;3,717;N;ORIG;KWH;
A;03/05/2018 01:15;3,843;N;ORIG;KWH;
A;03/05/2018 01:30;3,592;N;ORIG;KWH;
A;03/05/2018 01:45;3,592;N;ORIG;KWH;
A;03/05/2018 02:00;3,818;N;ORIG;KWH;
A;03/05/2018 02:15;3,768;N;ORIG;KWH;
A;03/05/2018 02:30;3,567;N;ORIG;KWH;
A;03/05/2018 02:45;3,617;N;ORIG;KWH;
A;03/05/2018 03:00;3,843;N;ORIG;KWH;
A;03/05/2018 03:15;3,667;N;ORIG;KWH;
A;03/05/2018 03:30;3,592;N;ORIG;KWH;
A;03/05/2018 03:45;3,567;N;ORIG;KWH;
A;03/05/2018 04:00;3,969;N;ORIG;KWH;
A;03/05/2018 04:15;3,592;N;ORIG;KWH;
A;03/05/2018 04:30;3,592;N;ORIG;KWH;
A;03/05/2018 04:45;3,893;N;ORIG;KWH;
A;03/05/2018 05:00;3,717;N;ORIG;KWH;
A;03/05/2018 05:15;3,516;N;ORIG;KWH;
A;03/05/2018 05:30;3,567;N;ORIG;KWH;
A;03/05/2018 05:45;3,818;N;ORIG;KWH;
A;03/05/2018 06:00;3,717;N;ORIG;KWH;
A;03/05/2018 06:15;3,567;N;ORIG;KWH;
A;03/05/2018 06:30;3,567;N;ORIG;KWH;
A;03/05/2018 06:45;3,843;N;ORIG;KWH;
A;03/05/2018 07:00;3,793;N;ORIG;KWH;
A;03/05/2018 07:15;5,929;N;ORIG;KWH;
A;03/05/2018 07:30;7,21;N;ORIG;KWH;
A;03/05/2018 07:45;9,094;N;ORIG;KWH;
A;03/05/2018 08:00;8,994;N;ORIG;KWH;
A;03/05/2018 08:15;8,969;N;ORIG;KWH;
A;03/05/2018 08:30;8,893;N;ORIG;KWH;
A;03/05/2018 08:45;9,647;N;ORIG;KWH;
A;03/05/2018 09:00;9,773;N;ORIG;KWH;
A;03/05/2018 09:15;10,099;N;ORIG;KWH;
A;03/05/2018 09:30;10,803;N;ORIG;KWH;
A;03/05/2018 09:45;10,828;N;ORIG;KWH;
A;03/05/2018 10:00;10,401;N;ORIG;KWH;
A;03/05/2018 10:15;10,853;N;ORIG;KWH;
A;03/05/2018 10:30;11,481;N;ORIG;KWH;
A;03/05/2018 10:45;10,727;N;ORIG;KWH;
A;03/05/2018 11:00;10,727;N;ORIG;KWH;
A;03/05/2018 11:15;10,476;N;ORIG;KWH;
A;03/05/2018 11:30;11,557;N;ORIG;KWH;
A;03/05/2018 11:45;11,029;N;ORIG;KWH;
A;03/05/2018 12:00;10,602;N;ORIG;KWH;
A;03/05/2018 12:15;12,486;N;ORIG;KWH;
A;03/05/2018 12:30;11,305;N;ORIG;KWH;
A;03/05/2018 12:45;10,351;N;ORIG;KWH;
A;03/05/2018 13:00;10,476;N;ORIG;KWH;
A;03/05/2018 13:15;10,351;N;ORIG;KWH;
A;03/05/2018 13:30;10,602;N;ORIG;KWH;
A;03/05/2018 13:45;10,928;N;ORIG;KWH;
A;03/05/2018 14:00;11,18;N;ORIG;KWH;
A;03/05/2018 14:15;11,858;N;ORIG;KWH;
A;03/05/2018 14:30;11,632;N;ORIG;KWH;
A;03/05/2018 14:45;11,104;N;ORIG;KWH;
A;03/05/2018 15:00;11,28;N;ORIG;KWH;
A;03/05/2018 15:15;10,828;N;ORIG;KWH;
A;03/05/2018 15:30;11,054;N;ORIG;KWH;
A;03/05/2018 15:45;11,004;N;ORIG;KWH;
A;03/05/2018 16:00;11,381;N;ORIG;KWH;
A;03/05/2018 16:15;11,28;N;ORIG;KWH;
A;03/05/2018 16:30;11,858;N;ORIG;KWH;
A;03/05/2018 16:45;12,386;N;ORIG;KWH;
A;03/05/2018 17:00;12,26;N;ORIG;KWH;
A;03/05/2018 17:15;10,778;N;ORIG;KWH;
A;03/05/2018 17:30;10,602;N;ORIG;KWH;
A;03/05/2018 17:45;10,778;N;ORIG;KWH;
A;03/05/2018 18:00;9,722;N;ORIG;KWH;
A;03/05/2018 18:15;9,17;N;ORIG;KWH;
A;03/05/2018 18:30;8,416;N;ORIG;KWH;
A;03/05/2018 18:45;7,637;N;ORIG;KWH;
A;03/05/2018 19:00;7,888;N;ORIG;KWH;
A;03/05/2018 19:15;7,436;N;ORIG;KWH;
A;03/05/2018 19:30;7,361;N;ORIG;KWH;
A;03/05/2018 19:45;6,959;N;ORIG;KWH;
A;03/05/2018 20:00;6,682;N;ORIG;KWH;
A;03/05/2018 20:15;6,255;N;ORIG;KWH;
A;03/05/2018 20:30;6,18;N;ORIG;KWH;
A;03/05/2018 20:45;6,029;N;ORIG;KWH;
A;03/05/2018 21:00;5,652;N;ORIG;KWH;
A;03/05/2018 21:15;6,004;N;ORIG;KWH;
A;03/05/2018 21:30;5,903;N;ORIG;KWH;
A;03/05/2018 21:45;5,527;N;ORIG;KWH;
A;03/05/2018 22:00;3,994;N;ORIG;KWH;
A;03/05/2018 22:15;3,893;N;ORIG;KWH;
A;03/05/2018 22:30;3,667;N;ORIG;KWH;
A;03/05/2018 22:45;4,019;N;ORIG;KWH;
A;03/05/2018 23:00;3,768;N;ORIG;KWH;
A;03/05/2018 23:15;3,592;N;ORIG;KWH;
A;03/05/2018 23:30;3,944;N;ORIG;KWH;
A;03/05/2018 23:45;3,667;N;ORIG;KWH;
A;04/05/2018 00:00;3,617;N;ORIG;KWH;
A;04/05/2018 00:15;3,969;N;ORIG;KWH;
A;04/05/2018 00:30;3,793;N;ORIG;KWH;
A;04/05/2018 00:45;3,793;N;ORIG;KWH;
A;04/05/2018 01:00;3,768;N;ORIG;KWH;
A;04/05/2018 01:15;3,818;N;ORIG;KWH;
A;04/05/2018 01:30;3,567;N;ORIG;KWH;
A;04/05/2018 01:45;3,667;N;ORIG;KWH;
A;04/05/2018 02:00;3,944;N;ORIG;KWH;
A;04/05/2018 02:15;3,642;N;ORIG;KWH;
A;04/05/2018 02:30;3,567;N;ORIG;KWH;
A;04/05/2018 02:45;3,818;N;ORIG;KWH;
A;04/05/2018 03:00;3,717;N;ORIG;KWH;
A;04/05/2018 03:15;3,617;N;ORIG;KWH;
A;04/05/2018 03:30;3,717;N;ORIG;KWH;
A;04/05/2018 03:45;3,818;N;ORIG;KWH;
A;04/05/2018 04:00;3,567;N;ORIG;KWH;
A;04/05/2018 04:15;3,516;N;ORIG;KWH;
A;04/05/2018 04:30;3,919;N;ORIG;KWH;
A;04/05/2018 04:45;3,542;N;ORIG;KWH;
A;04/05/2018 05:00;3,491;N;ORIG;KWH;
A;04/05/2018 05:15;3,818;N;ORIG;KWH;
A;04/05/2018 05:30;3,768;N;ORIG;KWH;
A;04/05/2018 05:45;3,542;N;ORIG;KWH;
A;04/05/2018 06:00;3,617;N;ORIG;KWH;
A;04/05/2018 06:15;3,843;N;ORIG;KWH;
A;04/05/2018 06:30;3,743;N;ORIG;KWH;
A;04/05/2018 06:45;3,617;N;ORIG;KWH;
A;04/05/2018 07:00;5,2;N;ORIG;KWH;
A;04/05/2018 07:15;6,858;N;ORIG;KWH;
A;04/05/2018 07:30;7,109;N;ORIG;KWH;
A;04/05/2018 07:45;7,913;N;ORIG;KWH;
A;04/05/2018 08:00;8,692;N;ORIG;KWH;
A;04/05/2018 08:15;8,617;N;ORIG;KWH;
A;04/05/2018 08:30;8,793;N;ORIG;KWH;
A;04/05/2018 08:45;9,371;N;ORIG;KWH;
A;04/05/2018 09:00;9,22;N;ORIG;KWH;
A;04/05/2018 09:15;9,923;N;ORIG;KWH;
A;04/05/2018 09:30;10,175;N;ORIG;KWH;
A;04/05/2018 09:45;10,451;N;ORIG;KWH;
A;04/05/2018 10:00;10,426;N;ORIG;KWH;
A;04/05/2018 10:15;10,954;N;ORIG;KWH;
A;04/05/2018 10:30;10,778;N;ORIG;KWH;
A;04/05/2018 10:45;10,627;N;ORIG;KWH;
A;04/05/2018 11:00;11,707;N;ORIG;KWH;
A;04/05/2018 11:15;10,727;N;ORIG;KWH;
A;04/05/2018 11:30;10,275;N;ORIG;KWH;
A;04/05/2018 11:45;10,828;N;ORIG;KWH;
A;04/05/2018 12:00;10,501;N;ORIG;KWH;
A;04/05/2018 12:15;10,752;N;ORIG;KWH;
A;04/05/2018 12:30;10,652;N;ORIG;KWH;
A;04/05/2018 12:45;10,803;N;ORIG;KWH;
A;04/05/2018 13:00;10,752;N;ORIG;KWH;
A;04/05/2018 13:15;10,677;N;ORIG;KWH;
A;04/05/2018 13:30;10,727;N;ORIG;KWH;
A;04/05/2018 13:45;11,029;N;ORIG;KWH;
A;04/05/2018 14:00;11,28;N;ORIG;KWH;
A;04/05/2018 14:15;11,255;N;ORIG;KWH;
A;04/05/2018 14:30;12,562;N;ORIG;KWH;
A;04/05/2018 14:45;11,707;N;ORIG;KWH;
A;04/05/2018 15:00;12,486;N;ORIG;KWH;
A;04/05/2018 15:15;11,481;N;ORIG;KWH;
A;04/05/2018 15:30;11,657;N;ORIG;KWH;
A;04/05/2018 15:45;12,059;N;ORIG;KWH;
A;04/05/2018 16:00;11,155;N;ORIG;KWH;
A;04/05/2018 16:15;10,954;N;ORIG;KWH;
A;04/05/2018 16:30;10,552;N;ORIG;KWH;
A;04/05/2018 16:45;10,803;N;ORIG;KWH;
A;04/05/2018 17:00;10,049;N;ORIG;KWH;
A;04/05/2018 17:15;9,145;N;ORIG;KWH;
A;04/05/2018 17:30;9,094;N;ORIG;KWH;
A;04/05/2018 17:45;9,27;N;ORIG;KWH;
A;04/05/2018 18:00;8,918;N;ORIG;KWH;
A;04/05/2018 18:15;8,793;N;ORIG;KWH;
A;04/05/2018 18:30;8,542;N;ORIG;KWH;
A;04/05/2018 18:45;8,692;N;ORIG;KWH;
A;04/05/2018 19:00;7,788;N;ORIG;KWH;
A;04/05/2018 19:15;8,089;N;ORIG;KWH;
A;04/05/2018 19:30;7,939;N;ORIG;KWH;
A;04/05/2018 19:45;7,285;N;ORIG;KWH;
A;04/05/2018 20:00;6,431;N;ORIG;KWH;
A;04/05/2018 20:15;6,331;N;ORIG;KWH;
A;04/05/2018 20:30;6,431;N;ORIG;KWH;
A;04/05/2018 20:45;5,125;N;ORIG;KWH;
A;04/05/2018 21:00;4,396;N;ORIG;KWH;
A;04/05/2018 21:15;4,295;N;ORIG;KWH;
A;04/05/2018 21:30;4,245;N;ORIG;KWH;
A;04/05/2018 21:45;4,245;N;ORIG;KWH;
A;04/05/2018 22:00;4,145;N;ORIG;KWH;
A;04/05/2018 22:15;4,245;N;ORIG;KWH;
A;04/05/2018 22:30;4,295;N;ORIG;KWH;
A;04/05/2018 22:45;4,723;N;ORIG;KWH;
A;04/05/2018 23:00;4,195;N;ORIG;KWH;
A;04/05/2018 23:15;4,22;N;ORIG;KWH;
A;04/05/2018 23:30;4,145;N;ORIG;KWH;
A;04/05/2018 23:45;4,17;N;ORIG;KWH;
A;05/05/2018 00:00;4,094;N;ORIG;KWH;
A;05/05/2018 00:15;4,12;N;ORIG;KWH;
A;05/05/2018 00:30;4,019;N;ORIG;KWH;
A;05/05/2018 00:45;4,145;N;ORIG;KWH;
A;05/05/2018 01:00;4,195;N;ORIG;KWH;
A;05/05/2018 01:15;4,145;N;ORIG;KWH;
A;05/05/2018 01:30;4,145;N;ORIG;KWH;
A;05/05/2018 01:45;4,094;N;ORIG;KWH;
A;05/05/2018 02:00;4,145;N;ORIG;KWH;
A;05/05/2018 02:15;4,12;N;ORIG;KWH;
A;05/05/2018 02:30;4,22;N;ORIG;KWH;
A;05/05/2018 02:45;3,969;N;ORIG;KWH;
A;05/05/2018 03:00;4,069;N;ORIG;KWH;
A;05/05/2018 03:15;4,295;N;ORIG;KWH;
A;05/05/2018 03:30;4,22;N;ORIG;KWH;
A;05/05/2018 03:45;4,22;N;ORIG;KWH;
A;05/05/2018 04:00;4,32;N;ORIG;KWH;
A;05/05/2018 04:15;4,27;N;ORIG;KWH;
A;05/05/2018 04:30;4,17;N;ORIG;KWH;
A;05/05/2018 04:45;4,195;N;ORIG;KWH;
A;05/05/2018 05:00;3,868;N;ORIG;KWH;
A;05/05/2018 05:15;4,145;N;ORIG;KWH;
A;05/05/2018 05:30;4,12;N;ORIG;KWH;
A;05/05/2018 05:45;4,145;N;ORIG;KWH;
A;05/05/2018 06:00;4,12;N;ORIG;KWH;
A;05/05/2018 06:15;4,17;N;ORIG;KWH;
A;05/05/2018 06:30;4,145;N;ORIG;KWH;
A;05/05/2018 06:45;3,868;N;ORIG;KWH;
A;05/05/2018 07:00;4,195;N;ORIG;KWH;
A;05/05/2018 07:15;4,094;N;ORIG;KWH;
A;05/05/2018 07:30;4,396;N;ORIG;KWH;
A;05/05/2018 07:45;6,607;N;ORIG;KWH;
A;05/05/2018 08:00;5,954;N;ORIG;KWH;
A;05/05/2018 08:15;5,954;N;ORIG;KWH;
A;05/05/2018 08:30;5,954;N;ORIG;KWH;
A;05/05/2018 08:45;6,079;N;ORIG;KWH;
A;05/05/2018 09:00;6,054;N;ORIG;KWH;
A;05/05/2018 09:15;6,004;N;ORIG;KWH;
A;05/05/2018 09:30;5,828;N;ORIG;KWH;
A;05/05/2018 09:45;6,004;N;ORIG;KWH;
A;05/05/2018 10:00;6,004;N;ORIG;KWH;
A;05/05/2018 10:15;5,979;N;ORIG;KWH;
A;05/05/2018 10:30;6,054;N;ORIG;KWH;
