date,Consumer_0 (kW)
2016-01-01 00:00:00,254.16666666666663
2016-01-01 01:00:00,252.5
2016-01-01 02:00:00,246.875
2016-01-01 03:00:00,256.25
2016-01-01 04:00:00,251.875
2016-01-01 05:00:00,261.875
2016-01-01 06:00:00,278.75
2016-01-01 07:00:00,285.875
2016-01-01 08:00:00,306.265
2016-01-01 09:00:00,242.75
2016-01-01 10:00:00,224.09500000000003
2016-01-01 11:00:00,214.28
2016-01-01 12:00:00,213.79
2016-01-01 13:00:00,206.775
2016-01-01 14:00:00,209.495
2016-01-01 15:00:00,214.825
2016-01-01 16:00:00,237.795
2016-01-01 17:00:00,286.875
2016-01-01 18:00:00,288.75
2016-01-01 19:00:00,277.875
2016-01-01 20:00:00,270.25
2016-01-01 21:00:00,266.25
2016-01-01 22:00:00,256.875
2016-01-01 23:00:00,259.375
2016-01-02 00:00:00,335.75
2016-01-02 01:00:00,333.125
2016-01-02 02:00:00,339.375
2016-01-02 03:00:00,343.125
2016-01-02 04:00:00,349.375
2016-01-02 05:00:00,389.625
2016-01-02 06:00:00,546.875
2016-01-02 07:00:00,790.625
2016-01-02 08:00:00,923.625
2016-01-02 09:00:00,912.07
2016-01-02 10:00:00,895.5
2016-01-02 11:00:00,968.005
2016-01-02 12:00:00,923.925
2016-01-02 13:00:00,911.525
2016-01-02 14:00:00,894.945
2016-01-02 15:00:00,937.55
2016-01-02 16:00:00,938.555
2016-01-02 17:00:00,901.88
2016-01-02 18:00:00,814.815
2016-01-02 19:00:00,674.77
2016-01-02 20:00:00,576.4
2016-01-02 21:00:00,605.75
2016-01-02 22:00:00,468.125
2016-01-02 23:00:00,376.875
2016-01-03 00:00:00,373.125
2016-01-03 01:00:00,350.5
2016-01-03 02:00:00,377.75
2016-01-03 03:00:00,369.375
2016-01-03 04:00:00,372.5
2016-01-03 05:00:00,392.5
2016-01-03 06:00:00,579.375
2016-01-03 07:00:00,763.265
2016-01-03 08:00:00,866.73
2016-01-03 09:00:00,893.75
2016-01-03 10:00:00,887.5500000000002
2016-01-03 11:00:00,918.945
2016-01-03 12:00:00,897.22
2016-01-03 13:00:00,923.725
2016-01-03 14:00:00,961.28
