,mae,rmse,B
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,0.3603689127849402,0.5728444644442617,1.0
12,0.35976916128874503,0.5719944039007718,1.0
13,0.3680867726510395,0.587876442734189,1.0
14,0.3793978993755597,0.596202553212529,1.0
15,0.3798084517556867,0.6028646484185597,1.0
16,0.3840990433682799,0.6144682527210601,1.0
17,0.4015957901686677,0.6251578908286327,1.0
18,0.40426185389849134,0.6279697142270811,1.0
19,0.3989020931971547,0.6274408707134199,1.0
20,0.4003332076622004,0.6313201642853187,1.0
21,0.19323592724668462,0.3438199134823705,2.0
22,0.19395703473241707,0.34885892909646626,2.0
23,0.19371135347247678,0.34522603336924834,2.0
24,0.21078393304755727,0.3675579546657295,2.0
25,0.20345272972548076,0.3622216793884371,2.0
26,0.2062601118411136,0.3691733238259107,2.0
27,0.20860365090001792,0.37087079053139,2.0
28,0.21101914973287392,0.38040476494275116,2.0
29,0.21139412285375575,0.3790680860406694,2.0
30,0.21821538173295776,0.3883794099016542,2.0
31,0.47166314489725475,0.7083980056858846,3.0
32,0.468999196736314,0.7139799713836615,3.0
33,0.47943578585038765,0.7261781702139447,3.0
34,0.47745612976697577,0.7268241921536717,3.0
35,0.4910234437787188,0.7359593928362335,3.0
36,0.5002122948712975,0.7482871346171404,3.0
37,0.5117679763601569,0.7569935674227285,3.0
38,0.5069734635332359,0.7611514289795313,3.0
39,0.5153371063738702,0.7682333594696356,3.0
40,0.5246971913840236,0.7831240995907228,3.0
41,0.6219373522863727,0.8554663940704023,4.0
42,0.6518452726055961,0.8932531234379083,4.0
43,0.6423600975432983,0.880743586375224,4.0
44,0.6642586133258288,0.9164123461111248,4.0
45,0.6817624545180578,0.9374918561721014,4.0
46,0.6879901979973715,0.9470892827164477,4.0
47,0.6862819306191789,0.939922718800532,4.0
48,0.7096624191552124,0.9761479405038014,4.0
49,0.7144051700582239,0.9847793953640331,4.0
50,0.7242000245387433,1.000935378080484,4.0
51,0.5338898514977893,0.8944145254662147,5.0
52,0.5408439186948544,0.8914221853841022,5.0
53,0.5461881305306036,0.9043129653165276,5.0
54,0.552203581510513,0.9092172212832469,5.0
55,0.5670468555069709,0.925896594297693,5.0
56,0.5702212565595384,0.9277493452170913,5.0
57,0.5731509793290228,0.9332645737891001,5.0
58,0.5742543887807592,0.9297068716192703,5.0
59,0.583529878385879,0.9409916902295151,5.0
60,0.5902979333979231,0.951697890665941,5.0
61,0.17492902175430022,0.2667488961313471,6.0
62,0.18901034628745383,0.2853340792126471,6.0
63,0.19611145489210585,0.2972870170918284,6.0
64,0.1968532629951541,0.29978147256153287,6.0
65,0.2083901536160264,0.3178388493320781,6.0
66,0.2113503166040033,0.32491176520430526,6.0
67,0.21514208630064172,0.3308146649310817,6.0
68,0.21822386538350166,0.33718346562673795,6.0
69,0.21386633642280023,0.3332717839168897,6.0
70,0.2168644883313208,0.33681554821628973,6.0
71,0.4497130628388132,0.697984333820836,7.0
72,0.4832056257398608,0.7386500640570671,7.0
73,0.4815659575879952,0.7454737915888214,7.0
74,0.5033275290318491,0.7783110981818658,7.0
75,0.495026193836277,0.765124963002467,7.0
76,0.4984242044899855,0.7701618534570744,7.0
77,0.5262901086106325,0.8055602043599255,7.0
78,0.5266866981537002,0.8170697567713899,7.0
79,0.5225409459286999,0.8049625416458154,7.0
80,0.521037237104353,0.8026878923419234,7.0
81,0.34734126808941623,0.5572677113806016,8.0
82,0.3736315395073691,0.5981141510169946,8.0
83,0.3938158276795839,0.6304738151594861,8.0
