,mae,rmse,B
0,,,
1,3.859080084220372,5.800395200426038,GEP1
2,4.72363702879368,7.254755306479877,GEP1
3,5.023849481170499,7.613422566692986,GEP1
4,4.6197986318901165,6.959603871097597,GEP1
5,4.747233801434578,7.114062149937315,GEP1
6,4.899839800497052,7.323909547934739,GEP1
7,4.872530593098935,7.304925714697569,GEP1
8,4.938678965580733,7.386677670457136,GEP1
9,4.708420717839026,7.071016549113313,GEP1
10,4.935941770672439,7.379245367679422,GEP1
11,1.4276784424563769,1.95064900941515,GEP2
12,1.484191950628127,2.138183411470683,GEP2
13,1.4905338021072287,2.155923738913132,GEP2
14,1.4697758400231793,2.0970585776014063,GEP2
15,1.5075927224569077,2.1730957124619144,GEP2
16,1.5110659728204132,2.1684948542146207,GEP2
17,1.5083493886099049,2.1537005258691053,GEP2
18,1.522794938325932,2.1757149733220817,GEP2
19,1.5102309271083552,2.1259937747879025,GEP2
20,1.5023995248741253,2.125822088789908,GEP2
21,2.0836713015253743,3.007933703460482,GEP4
22,2.1825950222579147,3.201150413729078,GEP4
23,2.1977833926561985,3.286079784220676,GEP4
24,2.2094298985411602,3.3017051313486623,GEP4
25,2.260282880744004,3.352650745250176,GEP4
26,2.275237012492379,3.3629253574323394,GEP4
27,2.2770892268678824,3.360350914234216,GEP4
28,2.274361511065005,3.339264219561921,GEP4
29,2.27938033138939,3.3462870440657713,GEP4
30,2.2705336112207055,3.337396062268928,GEP4
