,mae,rmse,B
0,,,
1,3.5396555909267167,5.069496889045461,GEP1
2,4.021393916300069,6.1797908631431815,GEP1
3,3.899619412667923,6.059385564182128,GEP1
4,3.7246836960841048,5.780689562488682,GEP1
5,3.7336104153344967,5.708018263295159,GEP1
6,3.6535901081770694,5.64119150041048,GEP1
7,3.584191773691627,5.5233911570612575,GEP1
8,3.6107970306569297,5.560980007839503,GEP1
9,3.577919356422147,5.498589650984044,GEP1
10,3.591092660010782,5.494320909463121,GEP1
11,1.6860491282501278,2.282588047030089,GEP2
12,1.6447831170576526,2.2304873509319316,GEP2
13,1.6460524685706983,2.2126568808475753,GEP2
14,1.6547740752789681,2.209459519887424,GEP2
15,1.6471182863358351,2.2067271710440077,GEP2
16,1.656096677156994,2.2234123704651982,GEP2
17,1.656602241086285,2.227947737688745,GEP2
18,1.7110143945351344,2.2625571878151,GEP2
19,1.7108378927254613,2.270342405332828,GEP2
20,1.7216251937977194,2.2665062956038278,GEP2
