timestamp,timestamp,h,prediction,actual
2013-08-30 00:00:00,2013-08-30 00:00:00,t+1,0.05183705866336822,0.06902617801047119
2013-08-31 00:00:00,2013-08-31 00:00:00,t+1,0.05668750607967376,0.04745549738219895
2013-09-01 00:00:00,2013-09-01 00:00:00,t+1,0.054678642094135275,0.05284816753926701
2013-09-02 00:00:00,2013-09-02 00:00:00,t+1,0.05106438443064689,0.06363350785340313
2013-09-03 00:00:00,2013-09-03 00:00:00,t+1,0.06595968896150588,0.05392670157068062
2013-09-04 00:00:00,2013-09-04 00:00:00,t+1,0.05284906959533691,0.037748691099476435
2013-09-05 00:00:00,2013-09-05 00:00:00,t+1,0.0543700635433197,0.06686910994764397
2013-09-06 00:00:00,2013-09-06 00:00:00,t+1,0.0625040733218193,0.049612565445026166
2013-09-07 00:00:00,2013-09-07 00:00:00,t+1,0.053880333304405205,0.05392670157068062
2013-09-08 00:00:00,2013-09-08 00:00:00,t+1,0.06161118280887603,0.06039790575916229
2013-09-09 00:00:00,2013-09-09 00:00:00,t+1,0.060642202079296104,0.051769633507853394
2013-09-10 00:00:00,2013-09-10 00:00:00,t+1,0.045492366135120386,0.06363350785340313
2013-09-11 00:00:00,2013-09-11 00:00:00,t+1,0.062384375810623165,0.061476439790575904
2013-09-12 00:00:00,2013-09-12 00:00:00,t+1,0.05675819373130798,0.06039790575916229
2013-09-13 00:00:00,2013-09-13 00:00:00,t+1,0.07210801666975021,0.037748691099476435
2013-09-14 00:00:00,2013-09-14 00:00:00,t+1,0.04884216517210006,0.05284816753926701
2013-09-15 00:00:00,2013-09-15 00:00:00,t+1,0.06060300278663635,0.05608376963350785
2013-09-16 00:00:00,2013-09-16 00:00:00,t+1,0.04317097604274749,0.028041884816753924
2013-09-17 00:00:00,2013-09-17 00:00:00,t+1,0.04937316977977752,0.05716230366492145
2013-09-18 00:00:00,2013-09-18 00:00:00,t+1,0.03680654266476631,0.028041884816753924
2013-09-19 00:00:00,2013-09-19 00:00:00,t+1,0.03412775141000747,0.02696335078534031
2013-09-20 00:00:00,2013-09-20 00:00:00,t+1,0.04215687775611877,0.03667015706806282
2013-09-21 00:00:00,2013-09-21 00:00:00,t+1,0.055190025568008415,0.051769633507853394
2013-09-22 00:00:00,2013-09-22 00:00:00,t+1,0.05849217152595519,0.05069109947643978
2013-09-23 00:00:00,2013-09-23 00:00:00,t+1,0.04853749734163284,0.06686910994764397
2013-09-24 00:00:00,2013-09-24 00:00:00,t+1,0.0727524567246437,0.061476439790575904
2013-09-25 00:00:00,2013-09-25 00:00:00,t+1,0.04602828216552734,0.05608376963350785
2013-09-26 00:00:00,2013-09-26 00:00:00,t+1,0.04388887870311737,0.05824083769633508
2013-09-27 00:00:00,2013-09-27 00:00:00,t+1,0.047572979867458336,0.05069109947643978
2013-09-28 00:00:00,2013-09-28 00:00:00,t+1,0.05786191320419311,0.06363350785340313
2013-09-29 00:00:00,2013-09-29 00:00:00,t+1,0.07178724551200866,0.059319371727748677
2013-09-30 00:00:00,2013-09-30 00:00:00,t+1,0.07172153681516646,0.04853403141361255
2013-10-01 00:00:00,2013-10-01 00:00:00,t+1,0.06280145996809006,0.0431413612565445
2013-10-02 00:00:00,2013-10-02 00:00:00,t+1,0.04560317397117614,0.04206282722513088
2013-10-03 00:00:00,2013-10-03 00:00:00,t+1,0.051595355272293086,0.06363350785340313
2013-10-04 00:00:00,2013-10-04 00:00:00,t+1,0.05264143306016921,0.05284816753926701
2013-10-05 00:00:00,2013-10-05 00:00:00,t+1,0.05947133731842041,0.059319371727748677
2013-10-06 00:00:00,2013-10-06 00:00:00,t+1,0.06483478897809981,0.05284816753926701
