D�tail point d'acc�s;
Nom;Voisins BV;
Num�ro EAN;541448810000283501;
Rue;Z. 1 RESEARCHPARK;
Num�ro maison;50 DN01;
Code postal;1731;
Commune;ZELLIK;
Type d'�nergie;;
Type de m�tre;Continue
Direction;Consommation;
;
;;;
Canal;Date;Valeur;Validation;Raison;Enit�;
A;01/01/2020 00:15;7,788;N;ORIG;KWH;
A;01/01/2020 00:30;7,888;N;ORIG;KWH;
A;01/01/2020 00:45;7,989;N;ORIG;KWH;
A;01/01/2020 01:00;7,21;N;ORIG;KWH;
A;01/01/2020 01:15;7,913;N;ORIG;KWH;
A;01/01/2020 01:30;7,134;N;ORIG;KWH;
A;01/01/2020 01:45;7,964;N;ORIG;KWH;
A;01/01/2020 02:00;6,984;N;ORIG;KWH;
A;01/01/2020 02:15;8,24;N;ORIG;KWH;
A;01/01/2020 02:30;7,486;N;ORIG;KWH;
A;01/01/2020 02:45;7,386;N;ORIG;KWH;
A;01/01/2020 03:00;8,215;N;ORIG;KWH;
A;01/01/2020 03:15;7,084;N;ORIG;KWH;
A;01/01/2020 03:30;8,064;N;ORIG;KWH;
A;01/01/2020 03:45;7,511;N;ORIG;KWH;
A;01/01/2020 04:00;7,436;N;ORIG;KWH;
A;01/01/2020 04:15;7,612;N;ORIG;KWH;
A;01/01/2020 04:30;7,612;N;ORIG;KWH;
A;01/01/2020 04:45;7,813;N;ORIG;KWH;
A;01/01/2020 05:00;7,386;N;ORIG;KWH;
A;01/01/2020 05:15;8,165;N;ORIG;KWH;
A;01/01/2020 05:30;6,934;N;ORIG;KWH;
A;01/01/2020 05:45;8,19;N;ORIG;KWH;
A;01/01/2020 06:00;7,612;N;ORIG;KWH;
A;01/01/2020 06:15;7,687;N;ORIG;KWH;
A;01/01/2020 06:30;8,215;N;ORIG;KWH;
A;01/01/2020 06:45;7,21;N;ORIG;KWH;
A;01/01/2020 07:00;8,617;N;ORIG;KWH;
A;01/01/2020 07:15;7,109;N;ORIG;KWH;
A;01/01/2020 07:30;7,813;N;ORIG;KWH;
A;01/01/2020 07:45;9,094;N;ORIG;KWH;
A;01/01/2020 08:00;7,562;N;ORIG;KWH;
A;01/01/2020 08:15;7,838;N;ORIG;KWH;
A;01/01/2020 08:30;8,165;N;ORIG;KWH;
A;01/01/2020 08:45;7,31;N;ORIG;KWH;
A;01/01/2020 09:00;8,567;N;ORIG;KWH;
A;01/01/2020 09:15;7,788;N;ORIG;KWH;
A;01/01/2020 09:30;7,511;N;ORIG;KWH;
A;01/01/2020 09:45;7,31;N;ORIG;KWH;
A;01/01/2020 10:00;8,114;N;ORIG;KWH;
A;01/01/2020 10:15;7,838;N;ORIG;KWH;
A;01/01/2020 10:30;7,964;N;ORIG;KWH;
A;01/01/2020 10:45;8,341;N;ORIG;KWH;
A;01/01/2020 11:00;7,461;N;ORIG;KWH;
A;01/01/2020 11:15;8,265;N;ORIG;KWH;
A;01/01/2020 11:30;7,059;N;ORIG;KWH;
A;01/01/2020 11:45;7,888;N;ORIG;KWH;
A;01/01/2020 12:00;7,612;N;ORIG;KWH;
A;01/01/2020 12:15;7,587;N;ORIG;KWH;
A;01/01/2020 12:30;7,964;N;ORIG;KWH;
A;01/01/2020 12:45;6,783;N;ORIG;KWH;
A;01/01/2020 13:00;7,486;N;ORIG;KWH;
A;01/01/2020 13:15;7,059;N;ORIG;KWH;
A;01/01/2020 13:30;8,265;N;ORIG;KWH;
A;01/01/2020 13:45;7,059;N;ORIG;KWH;
A;01/01/2020 14:00;7,964;N;ORIG;KWH;
A;01/01/2020 14:15;7,059;N;ORIG;KWH;
A;01/01/2020 14:30;7,662;N;ORIG;KWH;
A;01/01/2020 14:45;6,833;N;ORIG;KWH;
A;01/01/2020 15:00;7,712;N;ORIG;KWH;
A;01/01/2020 15:15;7,411;N;ORIG;KWH;
A;01/01/2020 15:30;7,235;N;ORIG;KWH;
A;01/01/2020 15:45;7,763;N;ORIG;KWH;
A;01/01/2020 16:00;7,662;N;ORIG;KWH;
A;01/01/2020 16:15;7,838;N;ORIG;KWH;
A;01/01/2020 16:30;7,059;N;ORIG;KWH;
A;01/01/2020 16:45;7,612;N;ORIG;KWH;
A;01/01/2020 17:00;7,511;N;ORIG;KWH;
A;01/01/2020 17:15;7,059;N;ORIG;KWH;
A;01/01/2020 17:30;8,064;N;ORIG;KWH;
A;01/01/2020 17:45;6,808;N;ORIG;KWH;
A;01/01/2020 18:00;8,114;N;ORIG;KWH;
A;01/01/2020 18:15;7,21;N;ORIG;KWH;
A;01/01/2020 18:30;8,14;N;ORIG;KWH;
A;01/01/2020 18:45;7,26;N;ORIG;KWH;
A;01/01/2020 19:00;7,536;N;ORIG;KWH;
A;01/01/2020 19:15;8,165;N;ORIG;KWH;
A;01/01/2020 19:30;7,185;N;ORIG;KWH;
A;01/01/2020 19:45;7,888;N;ORIG;KWH;
A;01/01/2020 20:00;7,411;N;ORIG;KWH;
A;01/01/2020 20:15;7,813;N;ORIG;KWH;
A;01/01/2020 20:30;7,712;N;ORIG;KWH;
A;01/01/2020 20:45;7,386;N;ORIG;KWH;
A;01/01/2020 21:00;8,064;N;ORIG;KWH;
A;01/01/2020 21:15;7,31;N;ORIG;KWH;
A;01/01/2020 21:30;7,712;N;ORIG;KWH;
A;01/01/2020 21:45;7,386;N;ORIG;KWH;
A;01/01/2020 22:00;7,511;N;ORIG;KWH;
A;01/01/2020 22:15;7,938;N;ORIG;KWH;
A;01/01/2020 22:30;7,235;N;ORIG;KWH;
A;01/01/2020 22:45;7,964;N;ORIG;KWH;
A;01/01/2020 23:00;7,26;N;ORIG;KWH;
A;01/01/2020 23:15;7,813;N;ORIG;KWH;
A;01/01/2020 23:30;8,315;N;ORIG;KWH;
A;01/01/2020 23:45;6,783;N;ORIG;KWH;
A;02/01/2020 00:00;8,014;N;ORIG;KWH;
A;02/01/2020 00:15;8,391;N;ORIG;KWH;
A;02/01/2020 00:30;7,687;N;ORIG;KWH;
A;02/01/2020 00:45;8,592;N;ORIG;KWH;
A;02/01/2020 01:00;7,486;N;ORIG;KWH;
A;02/01/2020 01:15;7,938;N;ORIG;KWH;
A;02/01/2020 01:30;7,411;N;ORIG;KWH;
A;02/01/2020 01:45;8,667;N;ORIG;KWH;
A;02/01/2020 02:00;7,536;N;ORIG;KWH;
A;02/01/2020 02:15;7,763;N;ORIG;KWH;
A;02/01/2020 02:30;7,562;N;ORIG;KWH;
A;02/01/2020 02:45;7,838;N;ORIG;KWH;
A;02/01/2020 03:00;7,863;N;ORIG;KWH;
A;02/01/2020 03:15;7,436;N;ORIG;KWH;
A;02/01/2020 03:30;8,491;N;ORIG;KWH;
A;02/01/2020 03:45;7,386;N;ORIG;KWH;
A;02/01/2020 04:00;7,838;N;ORIG;KWH;
A;02/01/2020 04:15;8,642;N;ORIG;KWH;
A;02/01/2020 04:30;7,486;N;ORIG;KWH;
A;02/01/2020 04:45;7,612;N;ORIG;KWH;
A;02/01/2020 05:00;8,617;N;ORIG;KWH;
A;02/01/2020 05:15;7,763;N;ORIG;KWH;
A;02/01/2020 05:30;7,536;N;ORIG;KWH;
A;02/01/2020 05:45;7,888;N;ORIG;KWH;
A;02/01/2020 06:00;7,712;N;ORIG;KWH;
A;02/01/2020 06:15;8,416;N;ORIG;KWH;
A;02/01/2020 06:30;7,361;N;ORIG;KWH;
A;02/01/2020 06:45;8,064;N;ORIG;KWH;
A;02/01/2020 07:00;6,984;N;ORIG;KWH;
A;02/01/2020 07:15;8,165;N;ORIG;KWH;
A;02/01/2020 07:30;9,496;N;ORIG;KWH;
A;02/01/2020 07:45;10,702;N;ORIG;KWH;
A;02/01/2020 08:00;12,712;N;ORIG;KWH;
A;02/01/2020 08:15;10,828;N;ORIG;KWH;
A;02/01/2020 08:30;12,185;N;ORIG;KWH;
A;02/01/2020 08:45;11,205;N;ORIG;KWH;
A;02/01/2020 09:00;12,361;N;ORIG;KWH;
A;02/01/2020 09:15;12,762;N;ORIG;KWH;
A;02/01/2020 09:30;12,838;N;ORIG;KWH;
A;02/01/2020 09:45;13,315;N;ORIG;KWH;
A;02/01/2020 10:00;13,592;N;ORIG;KWH;
A;02/01/2020 10:15;12,662;N;ORIG;KWH;
A;02/01/2020 10:30;13,064;N;ORIG;KWH;
A;02/01/2020 10:45;13,943;N;ORIG;KWH;
A;02/01/2020 11:00;14,722;N;ORIG;KWH;
A;02/01/2020 11:15;14,722;N;ORIG;KWH;
A;02/01/2020 11:30;14,672;N;ORIG;KWH;
A;02/01/2020 11:45;14,119;N;ORIG;KWH;
A;02/01/2020 12:00;13,818;N;ORIG;KWH;
A;02/01/2020 12:15;14,019;N;ORIG;KWH;
A;02/01/2020 12:30;13,843;N;ORIG;KWH;
A;02/01/2020 12:45;13,717;N;ORIG;KWH;
A;02/01/2020 13:00;13,667;N;ORIG;KWH;
A;02/01/2020 13:15;13,642;N;ORIG;KWH;
A;02/01/2020 13:30;13,039;N;ORIG;KWH;
A;02/01/2020 13:45;13,089;N;ORIG;KWH;
A;02/01/2020 14:00;13,416;N;ORIG;KWH;
A;02/01/2020 14:15;13,768;N;ORIG;KWH;
A;02/01/2020 14:30;13,34;N;ORIG;KWH;
A;02/01/2020 14:45;13,315;N;ORIG;KWH;
A;02/01/2020 15:00;13,692;N;ORIG;KWH;
A;02/01/2020 15:15;13,843;N;ORIG;KWH;
A;02/01/2020 15:30;13,742;N;ORIG;KWH;
A;02/01/2020 15:45;13,516;N;ORIG;KWH;
A;02/01/2020 16:00;14,019;N;ORIG;KWH;
A;02/01/2020 16:15;13,491;N;ORIG;KWH;
A;02/01/2020 16:30;13,19;N;ORIG;KWH;
A;02/01/2020 16:45;12,662;N;ORIG;KWH;
A;02/01/2020 17:00;13,014;N;ORIG;KWH;
A;02/01/2020 17:15;11,958;N;ORIG;KWH;
A;02/01/2020 17:30;11,908;N;ORIG;KWH;
A;02/01/2020 17:45;11,054;N;ORIG;KWH;
A;02/01/2020 18:00;12,109;N;ORIG;KWH;
A;02/01/2020 18:15;10,325;N;ORIG;KWH;
A;02/01/2020 18:30;11,029;N;ORIG;KWH;
A;02/01/2020 18:45;10,149;N;ORIG;KWH;
A;02/01/2020 19:00;10,602;N;ORIG;KWH;
A;02/01/2020 19:15;9,622;N;ORIG;KWH;
A;02/01/2020 19:30;8,793;N;ORIG;KWH;
A;02/01/2020 19:45;8,391;N;ORIG;KWH;
A;02/01/2020 20:00;6,431;N;ORIG;KWH;
A;02/01/2020 20:15;6,632;N;ORIG;KWH;
A;02/01/2020 20:30;6,104;N;ORIG;KWH;
A;02/01/2020 20:45;6,205;N;ORIG;KWH;
A;02/01/2020 21:00;5,979;N;ORIG;KWH;
A;02/01/2020 21:15;6,707;N;ORIG;KWH;
A;02/01/2020 21:30;5,728;N;ORIG;KWH;
A;02/01/2020 21:45;6,607;N;ORIG;KWH;
A;02/01/2020 22:00;5,526;N;ORIG;KWH;
A;02/01/2020 22:15;6,532;N;ORIG;KWH;
A;02/01/2020 22:30;6,104;N;ORIG;KWH;
A;02/01/2020 22:45;6,406;N;ORIG;KWH;
A;02/01/2020 23:00;5,878;N;ORIG;KWH;
A;02/01/2020 23:15;6,532;N;ORIG;KWH;
A;02/01/2020 23:30;5,928;N;ORIG;KWH;
A;02/01/2020 23:45;6,155;N;ORIG;KWH;
A;03/01/2020 00:00;6,707;N;ORIG;KWH;
A;03/01/2020 00:15;6,305;N;ORIG;KWH;
A;03/01/2020 00:30;6,506;N;ORIG;KWH;
A;03/01/2020 00:45;6,456;N;ORIG;KWH;
A;03/01/2020 01:00;6,456;N;ORIG;KWH;
A;03/01/2020 01:15;6,305;N;ORIG;KWH;
A;03/01/2020 01:30;5,979;N;ORIG;KWH;
A;03/01/2020 01:45;6,682;N;ORIG;KWH;
A;03/01/2020 02:00;5,928;N;ORIG;KWH;
A;03/01/2020 02:15;6,481;N;ORIG;KWH;
A;03/01/2020 02:30;6,305;N;ORIG;KWH;
A;03/01/2020 02:45;6,33;N;ORIG;KWH;
A;03/01/2020 03:00;6,004;N;ORIG;KWH;
A;03/01/2020 03:15;6,23;N;ORIG;KWH;
A;03/01/2020 03:30;6,104;N;ORIG;KWH;
A;03/01/2020 03:45;6,255;N;ORIG;KWH;
A;03/01/2020 04:00;6,13;N;ORIG;KWH;
A;03/01/2020 04:15;6,28;N;ORIG;KWH;
A;03/01/2020 04:30;5,928;N;ORIG;KWH;
A;03/01/2020 04:45;6,607;N;ORIG;KWH;
A;03/01/2020 05:00;5,979;N;ORIG;KWH;
A;03/01/2020 05:15;6,481;N;ORIG;KWH;
A;03/01/2020 05:30;6,381;N;ORIG;KWH;
A;03/01/2020 05:45;6,004;N;ORIG;KWH;
A;03/01/2020 06:00;6,456;N;ORIG;KWH;
A;03/01/2020 06:15;5,803;N;ORIG;KWH;
A;03/01/2020 06:30;6,532;N;ORIG;KWH;
A;03/01/2020 06:45;6,18;N;ORIG;KWH;
A;03/01/2020 07:00;6,481;N;ORIG;KWH;
A;03/01/2020 07:15;6,029;N;ORIG;KWH;
A;03/01/2020 07:30;7,913;N;ORIG;KWH;
A;03/01/2020 07:45;8,039;N;ORIG;KWH;
A;03/01/2020 08:00;7,964;N;ORIG;KWH;
A;03/01/2020 08:15;8,893;N;ORIG;KWH;
A;03/01/2020 08:30;9,597;N;ORIG;KWH;
A;03/01/2020 08:45;10,476;N;ORIG;KWH;
A;03/01/2020 09:00;10,225;N;ORIG;KWH;
A;03/01/2020 09:15;11,481;N;ORIG;KWH;
A;03/01/2020 09:30;11,406;N;ORIG;KWH;
A;03/01/2020 09:45;13,918;N;ORIG;KWH;
A;03/01/2020 10:00;13,265;N;ORIG;KWH;
A;03/01/2020 10:15;14,32;N;ORIG;KWH;
A;03/01/2020 10:30;13,391;N;ORIG;KWH;
A;03/01/2020 10:45;13,793;N;ORIG;KWH;
A;03/01/2020 11:00;13,742;N;ORIG;KWH;
A;03/01/2020 11:15;13,642;N;ORIG;KWH;
A;03/01/2020 11:30;13,617;N;ORIG;KWH;
A;03/01/2020 11:45;13,692;N;ORIG;KWH;
A;03/01/2020 12:00;14,069;N;ORIG;KWH;
A;03/01/2020 12:15;13,667;N;ORIG;KWH;
A;03/01/2020 12:30;14,345;N;ORIG;KWH;
A;03/01/2020 12:45;12,737;N;ORIG;KWH;
A;03/01/2020 13:00;12,16;N;ORIG;KWH;
A;03/01/2020 13:15;12,662;N;ORIG;KWH;
A;03/01/2020 13:30;13,014;N;ORIG;KWH;
A;03/01/2020 13:45;12,034;N;ORIG;KWH;
A;03/01/2020 14:00;13,089;N;ORIG;KWH;
A;03/01/2020 14:15;13,516;N;ORIG;KWH;
A;03/01/2020 14:30;13,516;N;ORIG;KWH;
A;03/01/2020 14:45;13,391;N;ORIG;KWH;
A;03/01/2020 15:00;12,612;N;ORIG;KWH;
A;03/01/2020 15:15;12,712;N;ORIG;KWH;
A;03/01/2020 15:30;13,24;N;ORIG;KWH;
A;03/01/2020 15:45;13,416;N;ORIG;KWH;
A;03/01/2020 16:00;13,24;N;ORIG;KWH;
A;03/01/2020 16:15;13,039;N;ORIG;KWH;
A;03/01/2020 16:30;15,25;N;ORIG;KWH;
A;03/01/2020 16:45;13,516;N;ORIG;KWH;
A;03/01/2020 17:00;13,039;N;ORIG;KWH;
A;03/01/2020 17:15;13,164;N;ORIG;KWH;
A;03/01/2020 17:30;13,416;N;ORIG;KWH;
A;03/01/2020 17:45;12,134;N;ORIG;KWH;
A;03/01/2020 18:00;12,461;N;ORIG;KWH;
A;03/01/2020 18:15;12,361;N;ORIG;KWH;
A;03/01/2020 18:30;11,506;N;ORIG;KWH;
A;03/01/2020 18:45;11,18;N;ORIG;KWH;
A;03/01/2020 19:00;11,783;N;ORIG;KWH;
A;03/01/2020 19:15;11,356;N;ORIG;KWH;
A;03/01/2020 19:30;10,878;N;ORIG;KWH;
A;03/01/2020 19:45;9,371;N;ORIG;KWH;
A;03/01/2020 20:00;8,416;N;ORIG;KWH;
A;03/01/2020 20:15;8,215;N;ORIG;KWH;
A;03/01/2020 20:30;7,813;N;ORIG;KWH;
A;03/01/2020 20:45;7,863;N;ORIG;KWH;
A;03/01/2020 21:00;8,592;N;ORIG;KWH;
A;03/01/2020 21:15;8,165;N;ORIG;KWH;
A;03/01/2020 21:30;8,416;N;ORIG;KWH;
A;03/01/2020 21:45;7,838;N;ORIG;KWH;
A;03/01/2020 22:00;8,667;N;ORIG;KWH;
A;03/01/2020 22:15;8,994;N;ORIG;KWH;
A;03/01/2020 22:30;10,828;N;ORIG;KWH;
