Datetime,Valeur
2019-11-27 00:00:00,6.51
2019-11-27 00:15:00,6.09
2019-11-27 00:30:00,6.3
2019-11-27 00:45:00,6.3
2019-11-27 01:00:00,6.09
2019-11-27 01:15:00,6.3
2019-11-27 01:30:00,6.3
2019-11-27 01:45:00,6.09
2019-11-27 02:00:00,6.72
2019-11-27 02:15:00,6.09
2019-11-27 02:30:00,6.09
2019-11-27 02:45:00,6.51
2019-11-27 03:00:00,6.09
2019-11-27 03:15:00,6.3
2019-11-27 03:30:00,6.09
2019-11-27 03:45:00,6.3
2019-11-27 04:00:00,6.09
2019-11-27 04:15:00,6.3
2019-11-27 04:30:00,6.3
2019-11-27 04:45:00,6.09
2019-11-27 05:00:00,6.09
2019-11-27 05:15:00,6.09
2019-11-27 05:30:00,6.51
2019-11-27 05:45:00,6.09
2019-11-27 06:00:00,6.09
2019-11-27 06:15:00,10.71
2019-11-27 06:30:00,13.65
2019-11-27 06:45:00,13.44
2019-11-27 07:00:00,11.76
2019-11-27 07:15:00,11.76
2019-11-27 07:30:00,13.44
2019-11-27 07:45:00,13.44
2019-11-27 08:00:00,15.12
2019-11-27 08:15:00,21.0
2019-11-27 08:30:00,18.69
2019-11-27 08:45:00,15.12
2019-11-27 09:00:00,15.33
2019-11-27 09:15:00,21.42
2019-11-27 09:30:00,15.12
2019-11-27 09:45:00,15.75
2019-11-27 10:00:00,15.54
2019-11-27 10:15:00,16.59
2019-11-27 10:30:00,19.95
2019-11-27 10:45:00,19.11
2019-11-27 11:00:00,16.59
2019-11-27 11:15:00,15.33
2019-11-27 11:30:00,15.96
2019-11-27 11:45:00,18.27
2019-11-27 12:00:00,21.63
2019-11-27 12:15:00,22.89
2019-11-27 12:30:00,17.01
2019-11-27 12:45:00,21.42
2019-11-27 13:00:00,17.85
2019-11-27 13:15:00,22.89
2019-11-27 13:30:00,21.63
2019-11-27 13:45:00,19.11
2019-11-27 14:00:00,13.86
2019-11-27 14:15:00,13.86
2019-11-27 14:30:00,13.44
2019-11-27 14:45:00,13.44
2019-11-27 15:00:00,12.6
2019-11-27 15:15:00,11.76
2019-11-27 15:30:00,11.76
2019-11-27 15:45:00,11.55
2019-11-27 16:00:00,11.13
2019-11-27 16:15:00,10.29
2019-11-27 16:30:00,10.08
2019-11-27 16:45:00,9.87
2019-11-27 17:00:00,10.08
2019-11-27 17:15:00,10.08
2019-11-27 17:30:00,10.08
2019-11-27 17:45:00,9.45
2019-11-27 18:00:00,8.61
2019-11-27 18:15:00,7.56
2019-11-27 18:30:00,6.51
2019-11-27 18:45:00,6.51
2019-11-27 19:00:00,5.88
2019-11-27 19:15:00,5.67
2019-11-27 19:30:00,5.46
2019-11-27 19:45:00,5.67
2019-11-27 20:00:00,5.04
2019-11-27 20:15:00,4.83
2019-11-27 20:30:00,4.83
2019-11-27 20:45:00,4.83
2019-11-27 21:00:00,4.83
2019-11-27 21:15:00,5.04
2019-11-27 21:30:00,4.83
2019-11-27 21:45:00,5.04
2019-11-27 22:00:00,5.25
2019-11-27 22:15:00,4.83
2019-11-27 22:30:00,4.83
2019-11-27 22:45:00,4.83
