Datetime,Datetime,Valeur,working day
2019-12-11 00:00:00,2019-12-11 00:00:00,6.09,True
2019-12-11 00:15:00,2019-12-11 00:15:00,6.3,True
2019-12-11 00:30:00,2019-12-11 00:30:00,6.3,True
2019-12-11 00:45:00,2019-12-11 00:45:00,6.09,True
2019-12-11 01:00:00,2019-12-11 01:00:00,6.09,True
2019-12-11 01:15:00,2019-12-11 01:15:00,6.09,True
2019-12-11 01:30:00,2019-12-11 01:30:00,6.09,True
2019-12-11 01:45:00,2019-12-11 01:45:00,5.88,True
2019-12-11 02:00:00,2019-12-11 02:00:00,6.09,True
2019-12-11 02:15:00,2019-12-11 02:15:00,6.09,True
2019-12-11 02:30:00,2019-12-11 02:30:00,6.51,True
2019-12-11 02:45:00,2019-12-11 02:45:00,6.09,True
2019-12-11 03:00:00,2019-12-11 03:00:00,6.09,True
2019-12-11 03:15:00,2019-12-11 03:15:00,5.88,True
2019-12-11 03:30:00,2019-12-11 03:30:00,6.09,True
2019-12-11 03:45:00,2019-12-11 03:45:00,6.09,True
2019-12-11 04:00:00,2019-12-11 04:00:00,6.09,True
2019-12-11 04:15:00,2019-12-11 04:15:00,6.09,True
2019-12-11 04:30:00,2019-12-11 04:30:00,5.88,True
2019-12-11 04:45:00,2019-12-11 04:45:00,6.3,True
2019-12-11 05:00:00,2019-12-11 05:00:00,5.88,True
2019-12-11 05:15:00,2019-12-11 05:15:00,6.09,True
2019-12-11 05:30:00,2019-12-11 05:30:00,6.3,True
2019-12-11 05:45:00,2019-12-11 05:45:00,6.09,True
2019-12-11 06:00:00,2019-12-11 06:00:00,6.09,True
2019-12-11 06:15:00,2019-12-11 06:15:00,6.51,True
2019-12-11 06:30:00,2019-12-11 06:30:00,15.12,True
2019-12-11 06:45:00,2019-12-11 06:45:00,13.44,True
2019-12-11 07:00:00,2019-12-11 07:00:00,12.18,True
2019-12-11 07:15:00,2019-12-11 07:15:00,11.76,True
2019-12-11 07:30:00,2019-12-11 07:30:00,12.18,True
2019-12-11 07:45:00,2019-12-11 07:45:00,13.86,True
2019-12-11 08:00:00,2019-12-11 08:00:00,14.7,True
2019-12-11 08:15:00,2019-12-11 08:15:00,14.91,True
2019-12-11 08:30:00,2019-12-11 08:30:00,16.17,True
2019-12-11 08:45:00,2019-12-11 08:45:00,16.8,True
2019-12-11 09:00:00,2019-12-11 09:00:00,21.21,True
2019-12-11 09:15:00,2019-12-11 09:15:00,18.69,True
2019-12-11 09:30:00,2019-12-11 09:30:00,19.32,True
2019-12-11 09:45:00,2019-12-11 09:45:00,19.32,True
2019-12-11 10:00:00,2019-12-11 10:00:00,19.32,True
2019-12-11 10:15:00,2019-12-11 10:15:00,20.79,True
2019-12-11 10:30:00,2019-12-11 10:30:00,22.89,True
