,energy_kWh
2012-06-01 01:00:00,1.011
2012-06-01 02:00:00,0.451
2012-06-01 03:00:00,0.505
2012-06-01 04:00:00,0.441
2012-06-01 05:00:00,0.46799999999999997
2012-06-01 06:00:00,0.451
2012-06-01 07:00:00,0.46399999999999997
2012-06-01 08:00:00,0.897
2012-06-01 09:00:00,1.0659999999999998
2012-06-01 10:00:00,0.946
2012-06-01 11:00:00,0.465
2012-06-01 12:00:00,0.792
2012-06-01 13:00:00,0.46799999999999997
2012-06-01 14:00:00,0.674
2012-06-01 15:00:00,0.503
2012-06-01 16:00:00,0.556
2012-06-01 17:00:00,0.925
2012-06-01 18:00:00,0.713
2012-06-01 19:00:00,0.597
2012-06-01 20:00:00,0.5589999999999999
2012-06-01 21:00:00,0.752
2012-06-01 22:00:00,1.584
2012-06-01 23:00:00,4.188
2012-06-02 00:00:00,0.613
2012-06-02 01:00:00,0.442
2012-06-02 02:00:00,0.496
2012-06-02 03:00:00,0.484
2012-06-02 04:00:00,0.447
2012-06-02 05:00:00,0.46
2012-06-02 06:00:00,0.5
2012-06-02 07:00:00,0.696
2012-06-02 08:00:00,0.627
2012-06-02 09:00:00,0.961
2012-06-02 10:00:00,0.982
2012-06-02 11:00:00,0.84
2012-06-02 12:00:00,1.159
2012-06-02 13:00:00,2.213
2012-06-02 14:00:00,0.457
2012-06-02 15:00:00,0.479
2012-06-02 16:00:00,0.462
2012-06-02 17:00:00,0.473
2012-06-02 18:00:00,2.104
2012-06-02 19:00:00,1.536
2012-06-02 20:00:00,1.1520000000000001
2012-06-02 21:00:00,0.935
2012-06-02 22:00:00,0.871
2012-06-02 23:00:00,0.9420000000000001
2012-06-03 00:00:00,1.133
2012-06-03 01:00:00,1.4280000000000002
2012-06-03 02:00:00,0.435
2012-06-03 03:00:00,0.504
2012-06-03 04:00:00,0.466
2012-06-03 05:00:00,0.449
2012-06-03 06:00:00,0.452
2012-06-03 07:00:00,0.47700000000000004
2012-06-03 08:00:00,0.452
2012-06-03 09:00:00,0.627
2012-06-03 10:00:00,1.494
2012-06-03 11:00:00,0.937
2012-06-03 12:00:00,1.575
2012-06-03 13:00:00,1.123
2012-06-03 14:00:00,0.529
2012-06-03 15:00:00,0.63
2012-06-03 16:00:00,0.618
2012-06-03 17:00:00,1.965
2012-06-03 18:00:00,1.1909999999999998
2012-06-03 19:00:00,1.22
2012-06-03 20:00:00,1.248
2012-06-03 21:00:00,1.274
2012-06-03 22:00:00,1.298
2012-06-03 23:00:00,1.319
2012-06-04 00:00:00,1.337
2012-06-04 01:00:00,1.351
2012-06-04 02:00:00,1.536
2012-06-04 03:00:00,1.54
2012-06-04 04:00:00,1.537
2012-06-04 05:00:00,1.527
2012-06-04 06:00:00,1.5090000000000001
2012-06-04 07:00:00,1.482
2012-06-04 08:00:00,1.446
2012-06-04 09:00:00,1.399
2012-06-04 10:00:00,1.199
2012-06-04 11:00:00,1.29
2012-06-04 12:00:00,0.9470000000000001
2012-06-04 13:00:00,0.626
2012-06-04 14:00:00,0.8270000000000001
2012-06-04 15:00:00,0.7659999999999999
2012-06-04 16:00:00,0.871
2012-06-04 17:00:00,0.7609999999999999
2012-06-04 18:00:00,0.667
2012-06-04 19:00:00,0.624
2012-06-04 20:00:00,0.598
2012-06-04 21:00:00,0.586
2012-06-04 22:00:00,0.586
2012-06-04 23:00:00,0.598
2012-06-05 00:00:00,0.618
2012-06-05 01:00:00,0.644
2012-06-05 02:00:00,0.47200000000000003
2012-06-05 03:00:00,0.457
2012-06-05 04:00:00,0.469
2012-06-05 05:00:00,0.9740000000000001
2012-06-05 06:00:00,0.447
2012-06-05 07:00:00,1.265
2012-06-05 08:00:00,0.9470000000000001
2012-06-05 09:00:00,0.634
2012-06-05 10:00:00,1.0290000000000001
2012-06-05 11:00:00,0.606
2012-06-05 12:00:00,0.723
2012-06-05 13:00:00,0.627
2012-06-05 14:00:00,2.467
2012-06-05 15:00:00,0.9179999999999999
2012-06-05 16:00:00,1.768
2012-06-05 17:00:00,2.221
2012-06-05 18:00:00,0.9940000000000001
2012-06-05 19:00:00,1.063
2012-06-05 20:00:00,1.124
2012-06-05 21:00:00,1.177
2012-06-05 22:00:00,1.222
2012-06-05 23:00:00,1.261
2012-06-06 00:00:00,1.2919999999999998
2012-06-06 01:00:00,1.3159999999999998
2012-06-06 02:00:00,0.922
2012-06-06 03:00:00,0.93
2012-06-06 04:00:00,0.934
2012-06-06 05:00:00,0.934
2012-06-06 06:00:00,0.9309999999999999
2012-06-06 07:00:00,0.924
2012-06-06 08:00:00,0.914
2012-06-06 09:00:00,0.9
2012-06-06 10:00:00,0.884
2012-06-06 11:00:00,0.865
2012-06-06 12:00:00,0.8440000000000001
2012-06-06 13:00:00,0.82
2012-06-06 14:00:00,0.795
2012-06-06 15:00:00,0.767
2012-06-06 16:00:00,0.738
2012-06-06 17:00:00,0.7070000000000001
2012-06-06 18:00:00,0.841
2012-06-06 19:00:00,0.9420000000000001
2012-06-06 20:00:00,2.544
2012-06-06 21:00:00,3.1860000000000004
2012-06-06 22:00:00,2.273
2012-06-06 23:00:00,1.515
2012-06-07 00:00:00,1.225
2012-06-07 01:00:00,0.475
2012-06-07 02:00:00,1.619
2012-06-07 03:00:00,1.492
2012-06-07 04:00:00,1.376
2012-06-07 05:00:00,1.273
2012-06-07 06:00:00,1.186
2012-06-07 07:00:00,1.117
2012-06-07 08:00:00,1.07
2012-06-07 09:00:00,1.046
2012-06-07 10:00:00,1.1320000000000001
2012-06-07 11:00:00,0.628
2012-06-07 12:00:00,0.618
2012-06-07 13:00:00,0.968
2012-06-07 14:00:00,0.848
2012-06-07 15:00:00,0.8
2012-06-07 16:00:00,1.113
2012-06-07 17:00:00,1.0590000000000002
2012-06-07 18:00:00,1.449
