D�tail point d'acc�s;
Nom;BELGISCH VERPAKKINGSINSTITUUT-IN;
Num�ro EAN;541448810000203363;
Rue;Z. 1 RESEARCHPARK;
Num�ro maison;280;
Code postal;1731;
Commune;ZELLIK;
Type d'�nergie;;
Type de m�tre;Continue
Direction;Consommation;
;
;;;
Canal;Date;Valeur;Validation;Raison;Enit�;
A;01/06/2014 02:00;3,35;N;ORIG;KWH;
A;01/06/2014 02:15;3,612;N;ORIG;KWH;
A;01/06/2014 02:30;3,075;N;ORIG;KWH;
A;01/06/2014 02:45;2,938;N;ORIG;KWH;
A;01/06/2014 03:00;3,075;N;ORIG;KWH;
A;01/06/2014 03:15;3,288;N;ORIG;KWH;
A;01/06/2014 03:30;3,05;N;ORIG;KWH;
A;01/06/2014 03:45;2,975;N;ORIG;KWH;
A;01/06/2014 04:00;2,95;N;ORIG;KWH;
A;01/06/2014 04:15;3,288;N;ORIG;KWH;
A;01/06/2014 04:30;3,175;N;ORIG;KWH;
A;01/06/2014 04:45;3;N;ORIG;KWH;
A;01/06/2014 05:00;3,338;N;ORIG;KWH;
A;01/06/2014 05:15;2,975;N;ORIG;KWH;
A;01/06/2014 05:30;3;N;ORIG;KWH;
A;01/06/2014 05:45;3,25;N;ORIG;KWH;
A;01/06/2014 06:00;3,125;N;ORIG;KWH;
A;01/06/2014 06:15;3,075;N;ORIG;KWH;
A;01/06/2014 06:30;3,325;N;ORIG;KWH;
A;01/06/2014 06:45;3,275;N;ORIG;KWH;
A;01/06/2014 07:00;2,975;N;ORIG;KWH;
A;01/06/2014 07:15;3,125;N;ORIG;KWH;
A;01/06/2014 07:30;3,125;N;ORIG;KWH;
A;01/06/2014 07:45;3,025;N;ORIG;KWH;
A;01/06/2014 08:00;3,05;N;ORIG;KWH;
A;01/06/2014 08:15;3,088;N;ORIG;KWH;
A;01/06/2014 08:30;3,113;N;ORIG;KWH;
A;01/06/2014 08:45;3,075;N;ORIG;KWH;
A;01/06/2014 09:00;3,3;N;ORIG;KWH;
A;01/06/2014 09:15;2,863;N;ORIG;KWH;
A;01/06/2014 09:30;2,913;N;ORIG;KWH;
A;01/06/2014 09:45;3,125;N;ORIG;KWH;
A;01/06/2014 10:00;3,062;N;ORIG;KWH;
A;01/06/2014 10:15;3,513;N;ORIG;KWH;
A;01/06/2014 10:30;2,95;N;ORIG;KWH;
A;01/06/2014 10:45;3,188;N;ORIG;KWH;
A;01/06/2014 11:00;3,412;N;ORIG;KWH;
A;01/06/2014 11:15;3,1;N;ORIG;KWH;
A;01/06/2014 11:30;2,975;N;ORIG;KWH;
A;01/06/2014 11:45;3,288;N;ORIG;KWH;
A;01/06/2014 12:00;3,15;N;ORIG;KWH;
A;01/06/2014 12:15;3,163;N;ORIG;KWH;
A;01/06/2014 12:30;3,15;N;ORIG;KWH;
A;01/06/2014 12:45;3,237;N;ORIG;KWH;
A;01/06/2014 13:00;3,1;N;ORIG;KWH;
A;01/06/2014 13:15;2,913;N;ORIG;KWH;
A;01/06/2014 13:30;3,225;N;ORIG;KWH;
A;01/06/2014 13:45;3,263;N;ORIG;KWH;
A;01/06/2014 14:00;2,963;N;ORIG;KWH;
A;01/06/2014 14:15;3,225;N;ORIG;KWH;
A;01/06/2014 14:30;3,25;N;ORIG;KWH;
A;01/06/2014 14:45;2,925;N;ORIG;KWH;
A;01/06/2014 15:00;3,213;N;ORIG;KWH;
A;01/06/2014 15:15;3,263;N;ORIG;KWH;
A;01/06/2014 15:30;3;N;ORIG;KWH;
A;01/06/2014 15:45;3,325;N;ORIG;KWH;
A;01/06/2014 16:00;3,338;N;ORIG;KWH;
A;01/06/2014 16:15;2,925;N;ORIG;KWH;
A;01/06/2014 16:30;3,263;N;ORIG;KWH;
A;01/06/2014 16:45;3,125;N;ORIG;KWH;
A;01/06/2014 17:00;3,1;N;ORIG;KWH;
A;01/06/2014 17:15;3,25;N;ORIG;KWH;
A;01/06/2014 17:30;2,975;N;ORIG;KWH;
A;01/06/2014 17:45;3,25;N;ORIG;KWH;
A;01/06/2014 18:00;3,05;N;ORIG;KWH;
A;01/06/2014 18:15;3,075;N;ORIG;KWH;
A;01/06/2014 18:30;3,125;N;ORIG;KWH;
