timestamp,h_1_actuals,h_2_actuals,h_3_actuals,h_4_actuals,h_5_actuals,h_6_actuals,h_7_actuals,h_8_actuals,h_9_actuals,h_10_actuals,h_11_actuals,h_12_actuals,h_13_actuals,h_14_actuals,h_15_actuals,h_16_actuals,h_17_actuals,h_18_actuals,h_19_actuals,h_20_actuals,h_21_actuals,h_22_actuals,h_23_actuals,h_24_actuals,h_1_preds,h_2_preds,h_3_preds,h_4_preds,h_5_preds,h_6_preds,h_7_preds,h_8_preds,h_9_preds,h_10_preds,h_11_preds,h_12_preds,h_13_preds,h_14_preds,h_15_preds,h_16_preds,h_17_preds,h_18_preds,h_19_preds,h_20_preds,h_21_preds,h_22_preds,h_23_preds,h_24_preds
2020-04-18,0.15,0.15,0.14,0.15,0.14,0.15,0.34,0.37,0.38,0.29,0.17,0.25,0.3,0.29,0.27,0.42,0.44,0.6,0.4,0.28,0.31,0.38,0.27,0.18,0.12431663274765015,0.13352905213832855,0.15384608507156372,0.14402660727500916,0.16187752783298492,0.17979176342487335,0.26543575525283813,0.33306270837783813,0.397861123085022,0.41924887895584106,0.4131041467189789,0.402742475271225,0.381057471036911,0.3703630268573761,0.4027881920337677,0.4398379325866699,0.4955006241798401,0.4907865524291992,0.4713820517063141,0.4391544461250305,0.37173426151275635,0.32892996072769165,0.28814926743507385,0.2393348217010498
2020-04-19,0.17,0.17,0.17,0.17,0.15,0.17,0.22,0.5,0.54,1.95,0.79,0.3,0.28,0.29,0.29,0.33,0.46,0.33,0.3,0.3,0.31,0.31999999999999995,0.17,0.18,0.16719110310077667,0.16220620274543762,0.1634529083967209,0.1512071192264557,0.1859903484582901,0.20814235508441925,0.30502504110336304,0.38422441482543945,0.42962709069252014,0.4390377104282379,0.46341291069984436,0.44720789790153503,0.45249539613723755,0.48087453842163086,0.5718982815742493,0.6508128046989441,0.6862629055976868,0.6550974249839783,0.5759108066558838,0.49128010869026184,0.3708387613296509,0.2965405583381653,0.2721914052963257,0.20465843379497528
2020-04-20,0.18,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.34,0.51,0.26,0.21,0.22,0.21,0.27,0.29,0.29,0.31999999999999995,0.25,0.27,0.26,0.28,0.31,0.22,0.14,0.14,0.13896173238754272,0.15664087235927582,0.15859851241111755,0.17087846994400024,0.19694653153419495,0.22803442180156708,0.31449082493782043,0.3457433581352234,0.3529471755027771,0.3382039964199066,0.3436897099018097,0.3159804940223694,0.3063081204891205,0.2877848148345947,0.308841347694397,0.3756357729434967,0.45870012044906616,0.49279624223709106,0.4678741991519928,0.42235809564590454,0.34026914834976196,0.2888343632221222,0.2425389438867569,0.19059310853481293
2020-04-21,0.13,0.2,0.17,0.15,0.15,0.15999999999999998,0.3,0.5,0.25,0.15999999999999998,0.39,0.45,0.5700000000000001,0.36,0.27,0.28,0.24,0.24,0.26,0.24,0.26,0.2,0.14,0.14,0.15239056944847107,0.16286662220954895,0.14737193286418915,0.1549670398235321,0.20452706515789032,0.2596876621246338,0.35111895203590393,0.3600788414478302,0.3512662649154663,0.33245575428009033,0.3051624596118927,0.28863024711608887,0.2555931806564331,0.2557225227355957,0.29815226793289185,0.3825158476829529,0.4743512272834778,0.5039354562759399,0.4918898940086365,0.4439847767353058,0.34481942653656006,0.29275742173194885,0.2408517301082611,0.1817392110824585
2020-04-22,0.14,0.14,0.14,0.13,0.14,0.14,0.28,0.36,0.24,0.38,0.25,1.73,0.7,0.27,0.31,0.28,0.28,0.28,0.27,0.27,0.28,0.34,0.15,0.15,0.11214742064476013,0.12203146517276764,0.1494118720293045,0.1571834683418274,0.17655208706855774,0.22126998007297516,0.29562750458717346,0.3174061179161072,0.31433922052383423,0.3194987177848816,0.31673887372016907,0.30421796441078186,0.3107372522354126,0.29306793212890625,0.3001544177532196,0.3391852378845215,0.38342732191085815,0.41523098945617676,0.4038952589035034,0.392681747674942,0.32183384895324707,0.28517046570777893,0.22887474298477173,0.19562998414039612
2020-04-23,0.14,0.13,0.15,0.15,0.14,0.15999999999999998,0.31999999999999995,0.31999999999999995,0.2,0.17,0.23,0.27,0.27,0.41,0.43,0.45,0.5,0.48,0.26,0.29,0.33,0.2,0.17,0.15,0.12836439907550812,0.13063004612922668,0.15272730588912964,0.16215449571609497,0.15989792346954346,0.19018828868865967,0.2813926637172699,0.319963663816452,0.3519974648952484,0.3747631311416626,0.3775017261505127,0.3906014859676361,0.3959571421146393,0.3618031144142151,0.3488113284111023,0.38958504796028137,0.4455794095993042,0.4695966839790344,0.45928481221199036,0.4541126787662506,0.38486960530281067,0.35590019822120667,0.28982582688331604,0.20290400087833405
2020-04-24,0.15999999999999998,0.15,0.17,0.14,0.15,0.18,0.31999999999999995,0.41,0.48,1.96,0.88,0.19,0.23,0.15999999999999998,0.14,0.19,0.17,0.15,0.14,0.2,0.29,0.34,0.35,0.22,0.13253836333751678,0.14499042928218842,0.15780869126319885,0.15787383913993835,0.18530665338039398,0.24745479226112366,0.3470889925956726,0.35245195031166077,0.34290581941604614,0.3418768048286438,0.3286810517311096,0.32320109009742737,0.31516942381858826,0.2993253767490387,0.3197902739048004,0.4010500907897949,0.4689388573169708,0.47937703132629395,0.44883882999420166,0.4261409342288971,0.3499051630496979,0.30710530281066895,0.26088160276412964,0.20933480560779572
2020-04-25,0.14,0.15,0.14,0.15,0.13,0.18,0.2,0.18,0.15,0.15,0.15,0.15,0.21,0.29,0.29,0.31,0.3,0.27,0.3,0.31,0.3,0.31999999999999995,0.3,0.14,0.20641884207725525,0.17416436970233917,0.17077399790287018,0.15558414161205292,0.17071060836315155,0.19739839434623718,0.2766910493373871,0.3329157829284668,0.38270601630210876,0.3827061951160431,0.35244515538215637,0.3435295820236206,0.3332606852054596,0.3374547064304352,0.3629782795906067,0.40580466389656067,0.45866313576698303,0.47224003076553345,0.46006014943122864,0.45318520069122314,0.3954419493675232,0.36862713098526,0.33911997079849243,0.28087282180786133
2020-04-26,0.14,0.14,0.14,0.14,0.14,0.13,0.23,0.28,0.56,0.88,0.58,0.21,0.28,0.31999999999999995,0.31,0.34,0.31,0.31999999999999995,0.29,0.3,0.27,0.31,0.27,0.13,0.14197830855846405,0.17224541306495667,0.18497446179389954,0.16100813448429108,0.1814139038324356,0.1895514875650406,0.2733573913574219,0.35872480273246765,0.42006245255470276,0.44966456294059753,0.46601220965385437,0.44458261132240295,0.4210309684276581,0.402294397354126,0.4241178035736084,0.46769970655441284,0.5132706761360168,0.5244151949882507,0.5118685960769653,0.4919116199016571,0.40160202980041504,0.3428053855895996,0.28519323468208313,0.21087947487831116
2020-04-27,0.15,0.14,0.15,0.14,0.14,0.14,0.25,0.31999999999999995,0.2,0.2,0.21,0.23,0.34,0.33,0.33,0.31999999999999995,0.2,0.28,0.28,0.3,0.33,0.15999999999999998,0.14,0.14,0.12918707728385925,0.15694114565849304,0.14182311296463013,0.14095643162727356,0.18345284461975098,0.23873552680015564,0.34017711877822876,0.36346232891082764,0.35640817880630493,0.32692381739616394,0.3131144344806671,0.28874045610427856,0.2781999111175537,0.2752915024757385,0.2990433871746063,0.3703421652317047,0.4443592429161072,0.472941517829895,0.4441674053668976,0.4164852201938629,0.34409797191619873,0.30009108781814575,0.24346923828125,0.17962662875652313
2020-04-28,0.15999999999999998,0.19,0.17,0.14,0.15,0.15,0.28,0.36,0.33,0.31,0.2,0.5,0.37,0.18,0.23,0.31999999999999995,0.35,0.23,0.25,0.31,0.31999999999999995,0.28,0.2,0.15999999999999998,0.11880331486463547,0.13113416731357574,0.14349789917469025,0.15988492965698242,0.18634355068206787,0.21503007411956787,0.2848559021949768,0.31347909569740295,0.32916897535324097,0.3390369713306427,0.3287108540534973,0.3221694529056549,0.2963537275791168,0.2815883457660675,0.2874792814254761,0.32396551966667175,0.3809136748313904,0.40883392095565796,0.41226860880851746,0.3881843686103821,0.3131333589553833,0.27092471718788147,0.22494740784168243,0.1845436990261078
2020-04-29,0.15,0.15999999999999998,0.13,0.15,0.15,0.23,0.33,0.33,0.22,0.15,0.55,0.58,0.5,0.28,0.28,0.18,0.31,0.27,0.34,0.3,0.3,0.2,0.13,0.15,0.11693450808525085,0.1370384842157364,0.16430798172950745,0.16269159317016602,0.17160111665725708,0.2035415917634964,0.2905777096748352,0.34223076701164246,0.36191225051879883,0.3867195248603821,0.39034581184387207,0.3771008253097534,0.36894434690475464,0.3337720036506653,0.3170909881591797,0.34952443838119507,0.3883483409881592,0.4259437620639801,0.41713547706604004,0.4236491918563843,0.3592870831489563,0.3174748718738556,0.25556251406669617,0.20884820818901062
2020-04-30,0.15,0.15999999999999998,0.14,0.15,0.15,0.2,0.33,0.28,0.19,0.29,0.23,0.36,0.29,0.27,0.14,0.17,0.2,0.29,0.39,0.4,0.38,0.31999999999999995,0.17,0.15,0.13294677436351776,0.12952086329460144,0.1452333778142929,0.1526252180337906,0.17460091412067413,0.21663713455200195,0.30086997151374817,0.32543689012527466,0.34349894523620605,0.3424087166786194,0.3346576988697052,0.333564817905426,0.33499792218208313,0.3286936283111572,0.3402740955352783,0.393780380487442,0.45654061436653137,0.46810707449913025,0.4419953227043152,0.4070250988006592,0.32294756174087524,0.2926066815853119,0.24398952722549438,0.18330274522304535
2020-05-01,0.15,0.15,0.15,0.15,0.13,0.23,0.34,0.27,0.22,0.35,0.36,0.36,0.19,0.18,0.14,0.13,0.15,0.15999999999999998,0.19,0.27,0.3,0.29,0.19,0.14,0.12557892501354218,0.16900594532489777,0.1801769882440567,0.15599983930587769,0.16311027109622955,0.21285167336463928,0.3332786560058594,0.3748758137226105,0.3912252187728882,0.399209201335907,0.38183772563934326,0.35840338468551636,0.32107633352279663,0.2768177390098572,0.2472297102212906,0.3018738329410553,0.37096190452575684,0.4108462333679199,0.421075701713562,0.44551894068717957,0.4015088677406311,0.36755621433258057,0.3099691569805145,0.24188025295734406
2020-05-02,0.14,0.15,0.14,0.14,0.14,0.24,0.39,0.37,0.24,0.29,0.24,0.33,0.15999999999999998,0.15,0.14,0.15,0.14,0.13,0.14,0.15,0.15,0.14,0.15,0.14,0.12989716231822968,0.13104261457920074,0.1484632045030594,0.13824334740638733,0.14847174286842346,0.1678963452577591,0.22744211554527283,0.27623310685157776,0.32126572728157043,0.33969154953956604,0.33198311924934387,0.3364950716495514,0.3302711546421051,0.32898959517478943,0.33615902066230774,0.3555710017681122,0.3949272334575653,0.4125416576862335,0.4246125817298889,0.4299676716327667,0.37716785073280334,0.34664350748062134,0.2917117476463318,0.23633961379528046
2020-05-03,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.46,0.52,2.18,0.72,0.28,0.31999999999999995,0.52,0.7,0.24,0.13,0.13511690497398376,0.14832453429698944,0.14638635516166687,0.11388015002012253,0.14664049446582794,0.19138772785663605,0.2930842339992523,0.381477415561676,0.4333578050136566,0.43240824341773987,0.4186277985572815,0.37547269463539124,0.3518896996974945,0.3243367075920105,0.34204909205436707,0.37056779861450195,0.43266561627388,0.4308582842350006,0.4085169732570648,0.37950992584228516,0.311771959066391,0.28029873967170715,0.23269407451152802,0.1741662174463272
2020-05-04,0.14,0.14,0.14,0.14,0.14,0.29,0.36,0.37,0.23,0.23,0.2,0.2,0.2,0.17,0.23,0.29,0.17,0.0,0.28,0.29,0.31,0.21,0.15,0.13,0.09585007280111313,0.13004641234874725,0.13345563411712646,0.15136060118675232,0.1738130748271942,0.21607191860675812,0.30102473497390747,0.2919016182422638,0.2607846260070801,0.24799413979053497,0.27083414793014526,0.2705977261066437,0.2759798467159271,0.22869446873664856,0.24359557032585144,0.29114362597465515,0.36121851205825806,0.4222857654094696,0.4328427016735077,0.45359373092651367,0.41023245453834534,0.35422301292419434,0.2663118839263916,0.19662751257419586
2020-05-05,0.15,0.14,0.14,0.15,0.14,0.26,0.33,0.27,0.2,0.2,0.24,0.34,0.22,0.2,0.31,0.25,0.3,0.3,0.18,0.23,0.29,0.28,0.25,0.15,0.13176238536834717,0.14394399523735046,0.13646389544010162,0.13660132884979248,0.17592109739780426,0.23622417449951172,0.32202231884002686,0.34016451239585876,0.3309673070907593,0.31078386306762695,0.2795740067958832,0.2618633806705475,0.2417839765548706,0.23812372982501984,0.24690914154052734,0.2925344407558441,0.3549976944923401,0.3884972333908081,0.40537065267562866,0.40083619952201843,0.337478905916214,0.303213506937027,0.24453149735927582,0.19439838826656342
2020-05-06,0.15999999999999998,0.13,0.15,0.15,0.14,0.24,0.38,0.36,0.21,0.14,0.34,0.33,0.28,0.26,0.22,0.2,0.18,0.14,0.17,0.29,0.46,0.28,0.2,0.15,0.12587057054042816,0.13371175527572632,0.15561769902706146,0.1630556434392929,0.18617042899131775,0.23048870265483856,0.3118017613887787,0.3398393392562866,0.33230575919151306,0.33492153882980347,0.329680472612381,0.31440383195877075,0.31389644742012024,0.2963184118270874,0.30236300826072693,0.3423658013343811,0.3848891854286194,0.4220481216907501,0.4104432165622711,0.40897050499916077,0.3423258364200592,0.29820549488067627,0.241263285279274,0.20066754519939423
2020-05-07,0.19,0.19,0.18,0.15,0.15,0.24,0.31999999999999995,0.54,0.49,0.31,0.15,0.17,0.17,0.22,0.31,0.18,0.2,0.23,0.25,0.22,0.25,0.28,0.17,0.15,0.13047675788402557,0.13615058362483978,0.15104761719703674,0.14686590433120728,0.15764039754867554,0.22286248207092285,0.3153839409351349,0.33367323875427246,0.3353081941604614,0.32346612215042114,0.3007518947124481,0.28969499468803406,0.28697261214256287,0.2661571800708771,0.2520662546157837,0.28440091013908386,0.34253156185150146,0.383203387260437,0.41654160618782043,0.4487890601158142,0.40077218413352966,0.3644851744174957,0.2775823771953583,0.20296397805213928
2020-05-08,0.15,0.15,0.15,0.14,0.14,0.24,0.51,1.67,1.67,0.42,0.27,0.35,0.24,0.21,0.23,0.29,0.39,0.23,0.28,0.28,0.25,0.28,0.26,0.15,0.14689841866493225,0.1677802950143814,0.16587825119495392,0.14513854682445526,0.17759425938129425,0.25605666637420654,0.36586233973503113,0.3781191408634186,0.3598439395427704,0.3425580561161041,0.30651572346687317,0.2811254560947418,0.26577040553092957,0.24960798025131226,0.2446174919605255,0.2971446216106415,0.354736328125,0.37991267442703247,0.380190908908844,0.40011435747146606,0.35315975546836853,0.3233884871006012,0.26556965708732605,0.20843537151813507
2020-05-09,0.14,0.14,0.15,0.15,0.15,0.25,0.28,0.31,0.37,0.29,0.15,0.27,0.24,0.29,0.28,0.22,0.31999999999999995,0.53,0.5,0.31999999999999995,0.36,0.27,0.19,0.18,0.14841030538082123,0.15786409378051758,0.1706198900938034,0.158345565199852,0.1929672807455063,0.23227502405643463,0.3191106915473938,0.37879544496536255,0.42617613077163696,0.42213794589042664,0.3859136998653412,0.3565792739391327,0.3258303105831146,0.32744884490966797,0.34079283475875854,0.37371528148651123,0.41275346279144287,0.42212310433387756,0.39434024691581726,0.380534827709198,0.3190159797668457,0.2790014147758484,0.2486671507358551,0.21888326108455658
