2021-04-18 15:30:27,465 INFO    MainThread:1095683 [wandb_setup.py:_flush():69] setting env: {}
2021-04-18 15:30:27,466 INFO    MainThread:1095683 [wandb_setup.py:_flush():69] setting login settings: {}
2021-04-18 15:30:27,466 INFO    MainThread:1095683 [wandb_setup.py:_flush():69] setting login settings: {}
2021-04-18 15:30:27,466 INFO    MainThread:1095683 [wandb_init.py:_log_setup():319] Logging user logs to /home/ubuntu/evgeny/GEP-forecasts/EVERGI/wandb/run-20210418_153027-t0txsytx/logs/debug.log
2021-04-18 15:30:27,466 INFO    MainThread:1095683 [wandb_init.py:_log_setup():320] Logging internal logs to /home/ubuntu/evgeny/GEP-forecasts/EVERGI/wandb/run-20210418_153027-t0txsytx/logs/debug-internal.log
2021-04-18 15:30:27,466 INFO    MainThread:1095683 [wandb_init.py:init():352] calling init triggers
2021-04-18 15:30:27,466 INFO    MainThread:1095683 [wandb_init.py:init():357] wandb.init called with sweep_config: {}
config: {'layers': 1, 'dropout': 0.3, 'neurons': 64, 'learning rate': 0.001, 'batch_size': 1500, 'architecture': 'RNN with forward lags for temporal', 'dataset': 'London', 'building': 'MAC004422', 'epochs': 40, 'patience': 5}
2021-04-18 15:30:27,466 INFO    MainThread:1095683 [wandb_init.py:init():401] starting backend
2021-04-18 15:30:27,466 INFO    MainThread:1095683 [backend.py:_multiprocessing_setup():69] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-04-18 15:30:27,469 INFO    MainThread:1095683 [backend.py:ensure_launched():123] starting backend process...
2021-04-18 15:30:27,511 INFO    MainThread:1095683 [backend.py:ensure_launched():127] started backend process with pid: 1099706
2021-04-18 15:30:27,514 INFO    MainThread:1095683 [wandb_init.py:init():406] backend started and connected
2021-04-18 15:30:27,517 INFO    MainThread:1095683 [wandb_init.py:init():446] updated telemetry
2021-04-18 15:30:27,518 INFO    MainThread:1095683 [wandb_init.py:init():465] communicating current version
2021-04-18 15:30:28,263 INFO    MainThread:1095683 [wandb_init.py:init():470] got version response upgrade_message: "wandb version 0.10.26 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2021-04-18 15:30:28,263 INFO    MainThread:1095683 [wandb_init.py:init():478] communicating run to backend with 30 second timeout
2021-04-18 15:30:28,520 INFO    MainThread:1095683 [wandb_init.py:init():503] starting run threads in backend
2021-04-18 15:30:29,914 INFO    MainThread:1095683 [wandb_run.py:_console_start():1422] atexit reg
2021-04-18 15:30:29,915 INFO    MainThread:1095683 [wandb_run.py:_redirect():1285] redirect: SettingsConsole.REDIRECT
2021-04-18 15:30:29,915 INFO    MainThread:1095683 [wandb_run.py:_redirect():1290] Redirecting console.
2021-04-18 15:30:29,915 INFO    MainThread:1095683 [redirect.py:install():213] install start
2021-04-18 15:30:29,915 INFO    MainThread:1095683 [redirect.py:install():228] install stop
2021-04-18 15:30:29,916 INFO    MainThread:1095683 [redirect.py:install():213] install start
2021-04-18 15:30:29,916 INFO    MainThread:1095683 [redirect.py:install():228] install stop
2021-04-18 15:30:29,916 INFO    MainThread:1095683 [wandb_run.py:_redirect():1336] Redirects installed.
2021-04-18 15:30:29,916 INFO    MainThread:1095683 [wandb_init.py:init():527] run started, returning control to user process
2021-04-18 15:32:14,487 INFO    MainThread:1095683 [wandb_run.py:finish():1078] finishing run ujohn33/3days_forcast/t0txsytx
